iter	Passed	Remaining
0	7	227
1	13	194
2	19	175
3	25	163
4	30	153
5	36	144
6	42	141
7	49	135
8	55	129
9	63	126
10	69	119
11	75	113
12	82	107
13	88	100
14	95	95
15	102	89
16	109	83
17	115	77
18	124	71
19	130	65
20	136	58
21	143	52
22	150	45
23	157	39
24	163	32
25	169	26
26	175	19
27	181	12
28	188	6
29	195	0
